id;date1;Load;LIGNITE;GAS;HYDRO;RES;tot_imps;SMP
0;1/11/2020;4113,67;531;1867,109;;569,561;1146;59,52
1;1/11/2020;3953,052;531;1586,555;;654,497;1181;59,01
2;1/11/2020;3807,755;531;1407,541;;701,214;1168;59,01
3;1/11/2020;3791,084;531;1345,325;;746,759;1168;59,01
4;1/11/2020;3849,307;531;1336,937;;813,37;1168;59,01
5;1/11/2020;3991,921;531;1427,516;26;855,405;1152;59,01
6;1/11/2020;4353,818;531;1537,9;26;1102,911;1156,007;47,59
7;1/11/2020;4917,563;531;1543,885;65;1625,678;1152;55,97
8;1/11/2020;5434,35;531;1588,916;105;2142,434;1067;59,01
9;1/11/2020;5540,592;531;1338,386;55;2575,206;1041;41,01
10;1/11/2020;5492,916;531;1091,305;60;2775,611;1035;39,01
11;1/11/2020;5441,676;531;1054,575;95;2733,101;1028;39,01
12;1/11/2020;5209,222;531;1017,467;106;2526,755;1028;39,01
13;1/11/2020;4740,552;531;949,9;61;2170,652;1028;27,01
14;1/11/2020;4647,338;531;1364,366;35;1688,972;1028;41,01
15;1/11/2020;4664,624;531;1992,587;35;1083,037;1023;54,26
16;1/11/2020;5059,173;531;2692,046;35;749,127;1052;59,01
17;1/11/2020;6078,272;748;3330,924;203,846;709,502;1086;92,02
18;1/11/2020;5758,499;531;3032,595;489;654,904;1051;59,52
19;1/11/2020;5719,795;548;3182,231;463;605,564;921;65,46
20;1/11/2020;5379,801;531;3121,745;269;550,056;908;59,52
21;1/11/2020;4852,936;531;2813,532;76;529,404;903;59,01
22;1/11/2020;4450,476;531;2446,333;76;494,143;903;52,46
23;1/11/2020;4088,822;531;2055,398;;470,424;1032;41,01
0;2/11/2020;3869,747;504;1912,041;;408,706;1045;43,09
1;2/11/2020;3753,863;504;1796,401;;408,462;1045;43,09
2;2/11/2020;3689,849;504;1724,6;;416,249;1045;43,01
3;2/11/2020;3681,93;504;1737,873;;395,057;1045;43,09
4;2/11/2020;3805,911;504;1864,001;;392,91;1045;43,09
5;2/11/2020;4182,008;504;2213,804;35;384,204;1045;54,03
6;2/11/2020;4791,259;504;2738,602;26;478,657;1044;54,14
7;2/11/2020;5229,789;504;2717,249;103;860,54;1045;54,03
8;2/11/2020;5509,298;504;2586,006;143;1258,292;1018;54,03
9;2/11/2020;5613,575;504;2569,235;93;1529,34;918;54,03
10;2/11/2020;5686,837;504;2555,126;98;1669,711;860;52,99
11;2/11/2020;5719,969;504;2543,172;133;1692,797;847;54,03
12;2/11/2020;5692,87;504;2587,944;118;1605,926;877;54,03
13;2/11/2020;5460,035;504;2588,144;60;1430,891;877;48,25
14;2/11/2020;5334,228;504;2847,58;35;1094,648;853;54,03
15;2/11/2020;5216,901;521;3075,63;35;655,184;930,087;66,65
16;2/11/2020;5448,52;622;3244,066;158,066;413,388;1011;90,02
17;2/11/2020;5839,761;622;3167,61;649,304;396,847;1004;90,1
18;2/11/2020;5983,166;622;3157,088;796,773;389,305;1018;90,08
19;2/11/2020;6017,043;622;3119,882;898,97;377,191;999;90,08
20;2/11/2020;5752,727;622;3223,851;563,191;363,685;980;90,08
21;2/11/2020;5234,047;598,919;3231,65;95;353,478;955;89,5
22;2/11/2020;4884,694;504;2999,506;76;350,188;955;54,14
23;2/11/2020;4498,642;504;2615,226;;336,416;1043;54,03
0;3/11/2020;4148,537;504;2254,725;15;344,812;1030;40,85
1;3/11/2020;4039,949;504;2129,261;15;357,688;1034;40,85
2;3/11/2020;3947,731;504;2020,955;15;373,776;1034;40,85
3;3/11/2020;3928,97;504;1983,581;15;393,389;1033;40,85
4;3/11/2020;3983,425;504;2034,468;15;395,957;1034;40,85
5;3/11/2020;4342,539;504;2380,722;15;408,817;1034;41,84
6;3/11/2020;4909,418;504;2831,952;41;482,466;1050;60,8
7;3/11/2020;5359,084;521;3007,043;46;742,041;1043;68,25
8;3/11/2020;5661,546;514,658;3083,473;50;991,415;1022;61,39
9;3/11/2020;5788,871;504;3021,974;90;1139,897;1033;60,8
10;3/11/2020;5843,459;517,731;3014,473;65;1225,255;1021;61,39
11;3/11/2020;5817,74;521;2983,631;45;1248,109;1020;69,24
12;3/11/2020;5730,522;504;2924,061;65;1214,461;1023;54,34
13;3/11/2020;5506,191;504;2873,038;81;1097,684;950,469;43,95
14;3/11/2020;5345,709;504;2880,785;46;872,245;1042,679;46,95
15;3/11/2020;5268,718;504;2991,291;20;583,453;1169,974;51,05
16;3/11/2020;5415,221;521;3130,686;20;430,825;1312,71;61,95
17;3/11/2020;5978,452;748;3222,231;20;441,016;1547,205;87,7
18;3/11/2020;6018,971;620,364;3154,957;365;443,842;1434,808;85,9
19;3/11/2020;6097,252;521;3200,887;532;440,04;1403,325;76,95
20;3/11/2020;5769,565;521;3129,071;323;453,855;1342,639;69,95
21;3/11/2020;5357,876;504;2969,41;136;482,502;1265,964;54,59
22;3/11/2020;4948,206;504;2825,772;76;507,434;1035;42,8
23;3/11/2020;4447,235;504;2252,086;76;520,149;1095;40,25
0;4/11/2020;4346,862;504;1883,189;;516,673;1443;42,17
1;4/11/2020;4214,402;504;1663,9;;568,005;1478,497;40
2;4/11/2020;4174,989;504;1653,9;;602,089;1415;38,95
3;4/11/2020;4210,664;504;1653,9;;620,679;1432,085;35,94
4;4/11/2020;4251,816;504;1656,65;;646,166;1445;40,15
5;4/11/2020;4517,17;504;1835,901;26;671,269;1480;41,99
6;4/11/2020;5020,097;504;2180,099;41;789,998;1505;52
7;4/11/2020;5459,988;504;2246,703;83;1206,285;1420;52
8;4/11/2020;5905,067;504;2378,361;153;1664,706;1205;49,45
9;4/11/2020;6170,111;504;2499,586;103;1988,247;1075,278;46,71
10;4/11/2020;6346,423;504;2583,247;84;2106,299;1068,877;42,38
11;4/11/2020;6262,167;504;2508,95;80;2092,299;1076,918;42,56
12;4/11/2020;6129,303;504;2466,763;96;1991,54;1071;43,02
13;4/11/2020;5937,703;504;2557,77;61;1812,933;1002;43,45
14;4/11/2020;5646,555;504;2480,306;35;1524,874;1102,375;46,45
15;4/11/2020;5462,564;504;2518,95;35;1142,514;1262,1;52
16;4/11/2020;5661,62;504;2795,57;35;950,465;1376,585;56,5
17;4/11/2020;6094,413;539;2969,76;168;1020,607;1397,046;70
18;4/11/2020;6175,65;539;2888,115;220;1118,475;1410,06;72
19;4/11/2020;6239,846;534,998;2932,275;330;1190,573;1252;61,39
20;4/11/2020;5994,254;504;2591,493;528;1260,513;1110,248;51,82
21;4/11/2020;5615,918;504;2576,967;186;1321,631;1027,32;43,48
22;4/11/2020;5126,113;504;2196,883;76;1371,23;978;41,01
23;4/11/2020;4969,097;504;2109,9;;1397,965;957,232;34,06
0;5/11/2020;4515,802;529;1533,9;;1544,181;908,721;33,4
1;5/11/2020;4316,456;529;932,9;;1582,021;1272,535;39,58
2;5/11/2020;4280,17;529;932,9;;1633,27;1185;33,55
3;5/11/2020;4233,659;529;932,9;;1686,064;1085,695;32,48
4;5/11/2020;4299,922;529;932,9;;1711,628;1126,394;36,85
5;5/11/2020;4700,117;529;976,08;56;1735,037;1404;41,98
6;5/11/2020;5026,476;529;1257,9;71;1816,907;1351,669;49,21
7;5/11/2020;5500,195;529;1592,9;45;2056,545;1276,75;54,91
8;5/11/2020;5931,928;529;2113,259;115;2315,669;859;55
9;5/11/2020;6027,533;529;2110,337;65;2504,196;819;48,17
10;5/11/2020;6153,538;529;2024,253;95;2604,285;901;45,58
11;5/11/2020;6191,583;529;2003,728;145;2602,445;911,41;43,98
12;5/11/2020;6028,162;529;1895,916;171;2584,246;848;42,04
13;5/11/2020;5802,081;529;1803,652;136;2525,022;808,407;41,46
14;5/11/2020;5571,694;529;1799,256;110;2363,438;770;41,63
15;5/11/2020;5614,74;529;1927,844;229;2119,339;809,557;43,54
16;5/11/2020;5781,811;529;1937,2;243;2025,764;1046,847;46,62
17;5/11/2020;6232,571;529;2089,138;376;2077,466;1160,967;56,25
18;5/11/2020;6365,871;529;2161,716;576;2146,832;952,323;55,63
19;5/11/2020;6424,215;529;2136,975;700;2203,24;855;48,32
20;5/11/2020;5970,303;529;1986,158;414;2261,145;780;43,72
21;5/11/2020;5541,986;529;1842,9;76;2334,086;760;38,6
22;5/11/2020;5015,97;529;1317,9;76;2404,07;689;36,06
23;5/11/2020;4820,566;529;1247,9;;2514,666;529;29,46
0;6/11/2020;4601,931;351;839,9;;2749,186;661,845;32,7
